n_hidden,layer_size,eta,activation,n_epochs,optimizer,l1_lambda,l2_lambda,train_acc,val_acc,test_acc,train_acc_std,val_acc_std,test_acc_std,overfit_gap
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0,0.0,0.9951333333333332,0.9108,0.8934,0.0019333333333333346,0.008352245207128448,0.008856635930193818,0.08433333333333315
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0,0.01,0.9682000000000001,0.9054,0.8868,0.005190161633107201,0.012101239605924687,0.00868101376568429,0.06280000000000008
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0,0.001,0.99,0.9074000000000002,0.8894,0.003999999999999987,0.011101351269102343,0.007539230729988313,0.08259999999999978
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0,0.0001,0.9888,0.9098,0.8908000000000001,0.00442015585446688,0.01074988372030136,0.012812493902437584,0.07899999999999996
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.01,0.0,0.9607999999999999,0.8775999999999999,0.8762000000000001,0.011680182646973753,0.013588230201170434,0.00734574706888279,0.08319999999999994
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.01,0.01,0.9391999999999999,0.8914000000000002,0.8834,0.010417079991799789,0.008674099376880585,0.011934822998268566,0.04779999999999973
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.01,0.001,0.9586666666666668,0.8874000000000001,0.876,0.013050329923458311,0.012870120434556947,0.011593101396951562,0.0712666666666667
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.01,0.0001,0.9626000000000001,0.8894,0.8758000000000001,0.011949709433938353,0.007045565981523421,0.01078702924812945,0.07320000000000015
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.001,0.0,0.9836,0.8942,0.8744,0.004800000000000001,0.007068238818828922,0.014554724318928215,0.08940000000000003
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.001,0.01,0.9667333333333333,0.9026000000000002,0.8812000000000001,0.007244614858254689,0.010001999800039999,0.01059056183589899,0.06413333333333315
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.001,0.001,0.9865999999999999,0.9078000000000002,0.8876000000000002,0.004092812127512225,0.005015974481593785,0.013200000000000012,0.07879999999999976
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.001,0.0001,0.9812666666666667,0.9004,0.8798,0.010001999800039973,0.010873821775254559,0.01129424632279641,0.08086666666666675
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0001,0.0,0.9866666666666667,0.9141999999999999,0.8868,0.006007402840570034,0.012278436382536673,0.010283968105745963,0.07246666666666679
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0001,0.01,0.9701333333333333,0.9006000000000001,0.8852,0.011134730451260249,0.009035485598461223,0.013029197979921876,0.06953333333333322
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0001,0.001,0.9889333333333333,0.906,0.8946000000000002,0.008683061416087975,0.012712198865656575,0.01402996792583648,0.0829333333333333
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.0001,0.0001,0.9915999999999998,0.9044000000000001,0.8982000000000001,0.0029694743268426802,0.012800000000000011,0.007507329751649391,0.08719999999999972
