n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc,train_acc_std,val_acc_std,test_acc_std
1,500,0.01,sigmoid,25,train_network_SRMSprop,0.9846,0.8922000000000001,0.8714000000000001,0.003869539162915063,0.009775479527879959,0.016662532820672867
1,500,0.01,sigmoid,25,train_network_stocastic_ADAM,0.9716666666666667,0.8606,0.8542,0.009771841632409357,0.016734395716607172,0.012213107712617632
1,500,0.01,sigmoid,25,train_network_stocastic_momentum,0.9818666666666667,0.8767999999999999,0.853,0.008716778201963272,0.013151425778218888,0.016619265928433796
1,500,0.01,sigmoid,25,train_network_momentum,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.01,sigmoid,100,train_network_SRMSprop,0.9963333333333335,0.9092,0.8902000000000001,0.0022360679774997916,0.010007996802557453,0.00914111590562116
1,500,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9929333333333334,0.9006000000000001,0.8744,0.0028158282775923938,0.011315476127852518,0.01586946753990191
1,500,0.01,sigmoid,100,train_network_stocastic_momentum,0.9965999999999999,0.8991999999999999,0.8818000000000001,0.004486523028904327,0.018723247581549536,0.01652755275290327
1,500,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.01,sigmoid,250,train_network_SRMSprop,0.9982,0.9136000000000001,0.9028,0.0016613247725836208,0.009156418513807685,0.01059056183589899
1,500,0.01,sigmoid,250,train_network_stocastic_ADAM,0.9968,0.9102,0.8896000000000001,0.0017074997966487588,0.010409610943738493,0.011235657524150521
1,500,0.01,sigmoid,250,train_network_stocastic_momentum,0.9996,0.9116,0.8911999999999999,0.0006798692684790348,0.009112628599915622,0.012749901960407393
1,500,0.01,sigmoid,250,train_network_momentum,0.096,0.09,0.09,0.0,0.0,0.0
1,500,0.01,sigmoid,500,train_network_SRMSprop,0.9991333333333333,0.9186,0.905,0.0006699917080747141,0.00885663593019382,0.00859069263796582
1,500,0.01,sigmoid,500,train_network_stocastic_ADAM,0.9984666666666666,0.9198000000000002,0.899,0.001231079020841268,0.009937806599043862,0.007496665925596532
1,500,0.01,sigmoid,500,train_network_stocastic_momentum,0.9997333333333334,0.9166000000000001,0.892,0.00032659863237110887,0.009210863151735572,0.00903327183250898
1,500,0.01,sigmoid,500,train_network_momentum,0.096,0.09,0.09,0.0,0.0,0.0
